"pais","CODIGO_PAIS","REGIAO","nivel_educacional","anos_programando","cargo_atual","anos_usando_ml","SALARIO_ANUAL_USD","linguagens_usadas","bancos_de_dados_usados","ferramentas_bi_usadas"
Pakistan,PAK,Asia,Professional doctorate,"5-10 years",Data Scientist,Other,,,,
Nigeria,NGA,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0.0,Python;R;SQL,,
Germany,DEU,Europe,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL,,
Tunisia,TUN,Africa,Master’s degree,< 1 years,Data Scientist,Academics/Education,0.0,Python,,
Egypt,EGY,Africa,Doctoral degree,"10-20 years",Data Administrator,Computers/Technology,10000.0,Python;SQL,PostgreSQL;SQLite;Oracle Database;Snowflake,Qlik Sense
United States of America,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0.0,,,
Other,,,Master’s degree,"3-5 years",Data Scientist,Online Service/Internet-based Services,,Python;SQL;Bash,,
Egypt,EGY,Africa,Bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,0.0,Python;SQL;C#,,
Turkey,TUR,Asia,Master’s degree,"5-10 years",Data Engineer,Accounting/Finance,15000.0,Python;SQL;Bash,MySQL;PostgreSQL;SQLite;Oracle Database;MongoDB;Snowflake,Microsoft Power BI
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,2000.0,Python,,
Brazil,BRA,Americas,Doctoral degree,"10-20 years",Data Scientist,Medical/Pharmaceutical,40000.0,Python,MongoDB,
United States of America,,,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,80000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,25000.0,Python,,
Poland,POL,Europe,No formal education past high school,"1-3 years",Data Scientist,Online Service/Internet-based Services,3000.0,Python;SQL,,
Nigeria,NGA,Africa,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0.0,Python,MongoDB;Snowflake,
United States of America,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,80000.0,,,
India,IND,Asia,Professional doctorate,"3-5 years",Data Scientist,Computers/Technology,7500.0,Python;SQL;MATLAB,MySQL;PostgreSQL;Snowflake,
Nigeria,NGA,Africa,Master’s degree,< 1 years,Data Scientist,Accounting/Finance,1000.0,Python;R;SQL,,
Nigeria,NGA,Africa,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,1000.0,,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,15000.0,Python;Java,Microsoft SQL Server,
India,IND,Asia,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,10000.0,SQL;C#,,
Canada,CAN,Americas,Bachelor’s degree,"5-10 years",Data Scientist,Computers/Technology,80000.0,Python,SQLite,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,0.0,,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,200000.0,Python;SQL;Java,,
Other,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,10000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,10000.0,Python,,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,70000.0,,,
Philippines,PHL,Asia,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,20000.0,Python;SQL;Bash,MySQL;PostgreSQL;SQLite,
India,IND,Asia,I prefer not to answer,< 1 years,Data Scientist,Broadcasting/Communications,,Python,,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,50000.0,Python;SQL,,
United States of America,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,60000.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,40000.0,SQL,,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,90000.0,Python;Javascript,SQLite;Oracle Database,
Nigeria,NGA,Africa,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,,Python;SQL,,
Argentina,ARG,Americas,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Medical/Pharmaceutical,7500.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL,SQLite,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Academics/Education,,Python;SQL;C++;MATLAB,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,,Python;R,,
United Kingdom of Great Britain and Northern Ireland,,,Bachelor’s degree,"5-10 years",Data Scientist,Retail/Sales,40000.0,Python;SQL,,
Kenya,KEN,Africa,Bachelor’s degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,1000.0,Python;SQL,,
Hong Kong (S.A.R.),,,I prefer not to answer,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,,Python;R;SQL;Java,,
